"dim","best","repetition"
83,5443960.86796965,4
83,3282444.98572805,5
83,5277613.11789841,6
83,5656486.05201185,7
83,5870183.03854929,8
83,4634348.11708174,9
83,5181445.64910403,10
87,5085902.20464486,1
87,5866009.81203847,2
87,5849612.52187624,3
87,5352662.99150485,4
87,5599085.39887181,5
87,5403843.75879079,6
87,5577192.65208701,7
87,5323159.37216311,8
87,4508112.17794163,9
87,6581097.86401187,10
90,5160280.58538855,1
90,6177916.41952184,2
90,6076759.74485783,3
90,6262454.06078537,4
90,6017491.86568953,5
90,6079959.84175282,6
90,5646644.62490812,7
90,6102487.30450844,8
90,5749233.4458458,9
90,5948042.99479873,10
93,5895130.61947756,1
93,6314616.54261371,2
93,5536486.75602205,3
93,5956091.37997826,4
93,7169603.88968791,5
93,6597843.80143962,6
93,6783771.40154417,7
93,5990953.76162681,8
93,5925585.42240131,9
93,6344411.51922295,10
97,6744196.8667479,1
97,6744379.62212391,2
97,7073641.46101732,3
97,6332444.67799894,4
97,7299411.74730293,5
97,6605474.67878207,6
97,7106674.27268787,7
97,7663921.82289293,8
97,7333702.86271317,9
97,6208406.86473893,10
100,6505926.98407229,1
100,6256616.09734484,2
100,6607734.81613832,3
100,6829984.44940959,4
100,6493774.78202245,5
100,6539123.16842697,6
100,7049989.76820986,7
100,6925411.79093088,8
100,6886315.60698475,9
100,6299406.17312928,10
103,7576807.10549876,1
103,7155902.85644826,2
103,7205072.00515821,3
103,6753465.86367523,4
103,7101626.28629653,5
103,7509496.35618166,6
103,7484348.55795207,7
103,7280584.53427591,8
103,7679663.06197923,9
103,6812157.34906792,10
107,8248460.62648622,1
107,8189621.37825269,2
107,8078171.96669574,3
107,7507761.09443335,4
107,7430316.69606238,5
107,6430952.62507661,6
107,5816450.24379269,7
107,4992443.45693185,8
107,7475698.62401933,9
107,6723486.57210664,10
110,6833637.36280166,1
110,7588755.80576692,2
110,7916385.3903668,3
110,9058099.4200708,4
110,8467199.77228986,5
110,7091753.02558188,6
110,7046826.49704856,7
110,8300806.41025779,8
110,7941691.95093555,9
110,8020335.31991041,10
113,8412453.40638888,1
113,7753834.05320187,2
113,8736441.72895703,3
113,8806153.35292977,4
113,8814334.78799203,5
113,8620251.91381078,6
113,8863398.01712732,7
113,8280346.90757219,8
113,7689713.04922977,9
113,8926973.07234852,10
117,8928188.38018951,1
117,7830029.91248791,2
117,7670986.46883566,3
117,9005098.6856762,4
117,7055460.88679533,5
117,8432052.99649184,6
117,7564637.54407045,7
117,8452140.79633957,8
117,7528965.85965266,9
117,7401157.2982785,10
120,8578548.0649637,1
120,8083720.94216225,2
120,7931463.8771933,3
120,8691522.67262093,4
120,7666539.97462802,5
120,8185841.41883525,6
120,8743666.9751535,7
120,8914966.14968257,8
120,9200450.52568061,9
120,8983302.83303202,10
124,8218284.5036918,1
124,8294754.78010543,2
124,9409009.87916267,3
124,9267615.60503337,4
124,7869950.3073617,5
124,9142076.6210345,6
124,8946461.41310393,7
124,8203960.39475802,8
124,9641040.13676806,9
124,8376187.72204399,10
127,10083917.0000971,1
127,10634410.6793979,2
127,10020683.6214754,3
127,9822530.74992236,4
127,7226812.81131405,5
127,9001382.3891216,6
127,8382469.15038532,7
127,10005327.056388,8
127,9470278.12553476,9
127,9474885.84989026,10
130,10432356.9489255,1
130,8273594.81148462,2
130,9737246.78327714,3
130,9905270.51538729,4
130,10104287.1340206,5
130,10481863.52676,6
130,10261545.9052506,7
130,8337379.96349346,8
130,8121778.19796409,9
130,9829219.71158095,10
134,10212787.1151713,1
134,10155827.8644315,2
134,9740531.25758506,3
134,11357241.1027813,4
134,8415374.5638304,5
134,10350987.8122247,6
134,9538993.23989727,7
134,10489188.4948023,8
134,9535567.70771197,9
134,10614001.2388889,10
137,8828018.84002736,1
137,9987027.93629039,2
137,9118418.85799318,3
137,11360500.092728,4
137,10382619.6587063,5
137,11218638.407692,6
137,10013807.7286315,7
137,9702166.12971463,8
137,9076248.57585,9
137,10500737.9132437,10
140,10580998.9546153,1
140,10704363.2797958,2
140,9924464.08904525,3
140,11030026.2092449,4
140,10093864.0752471,5
140,10158537.9605131,6
140,11405654.9462891,7
140,9273364.39589884,8
140,10823984.4844131,9
