"dim","best","repetition"
87,5362839.55070641,8
87,6402088.17908368,9
87,5501605.62567204,10
90,6283397.97049527,1
90,6091225.66483939,2
90,6944901.87439992,3
90,5946978.83767108,4
90,6512563.7678841,5
90,4882433.97597427,6
90,5467160.71990987,7
90,5707518.23680109,8
90,6952245.3007117,9
90,4962006.22382461,10
93,6176205.45562341,1
93,6498079.48607327,2
93,6287966.15398986,3
93,5133435.80730577,4
93,6821888.55958554,5
93,5995643.1012178,6
93,6510284.28015925,7
93,6050727.22275816,8
93,6356579.48209741,9
93,5504043.20570398,10
97,7061113.72438873,1
97,6782477.27468777,2
97,5885526.10243237,3
97,6305150.00659939,4
97,7461477.09277128,5
97,6795532.73037693,6
97,5680190.62771533,7
97,6821791.5402686,8
97,5892272.23212642,9
97,6291047.82504078,10
100,6956457.74268624,1
100,6401278.51644463,2
100,7312849.7624055,3
100,6275092.089329,4
100,6032130.97080605,5
100,7174768.08273095,6
100,6378357.33288205,7
100,6736233.52397346,8
100,7352389.54782048,9
100,6756277.47529139,10
103,6573605.51797134,1
103,6092721.00991634,2
103,6569517.0209702,3
103,4827809.61922388,4
103,6576194.28021819,5
103,7002325.37408916,6
103,6774468.66258164,7
103,6728208.49235158,8
103,7824256.80460184,9
103,6983696.89208488,10
107,7308350.04217354,1
107,7992827.1598804,2
107,7576121.63340698,3
107,7221736.79396611,4
107,6509370.81464257,5
107,8186047.60817339,6
107,7268002.88530111,7
107,7078746.34318614,8
107,8327739.9021055,9
107,7736435.2302196,10
110,7380114.55323241,1
110,6183828.2357348,2
110,7719928.08561874,3
110,8154816.57408868,4
110,8051843.17824807,5
110,7990218.61239095,6
110,8315498.35811157,7
110,6935986.89975405,8
110,8005264.98285418,9
110,7899210.19216893,10
113,7366311.85737284,1
113,7169888.56244912,2
113,8046659.03011026,3
113,7176880.16579879,4
113,7327344.18525308,5
113,7679906.13399735,6
113,8486189.84606846,7
113,7854530.51830534,8
113,9169620.97569175,9
113,8382682.7281972,10
117,9168897.30074501,1
117,8643746.62169761,2
117,7805193.53592392,3
117,7938367.92535685,4
117,8278728.84933894,5
117,9130782.32085086,6
117,7429531.32774438,7
117,7956294.78187924,8
117,8893352.40700349,9
117,8643290.01130141,10
120,8866146.12503183,1
120,7753481.95916276,2
120,8504115.5122006,3
120,8283986.01371417,4
120,7484244.42296885,5
120,9131612.99561393,6
120,9463310.84823774,7
120,8418733.18319642,8
120,8774659.64730248,9
120,9353541.89978644,10
124,9689746.89090004,1
124,8101069.85977539,2
124,7957593.53839821,3
124,9608791.72415546,4
124,9457257.5628463,5
124,9621301.00764651,6
124,8271720.78542722,7
124,9174183.36453803,8
124,9652914.87829638,9
124,9362162.68339402,10
127,8625185.47832978,1
127,9854594.53549048,2
127,7524533.30585501,3
127,9603231.03943497,4
127,9100507.30280534,5
127,9276257.29617968,6
127,8853477.52075176,7
127,9227388.78611693,8
127,10033662.3112087,9
127,9497947.8941824,10
130,9566810.46462581,1
130,8028814.13101895,2
130,9271707.80368104,3
130,9995996.40174956,4
130,9041844.33868685,5
130,8580656.22591074,6
130,9267831.56285835,7
130,9718827.9147892,8
130,9368722.46740426,9
130,9241182.26636319,10
134,10306613.6449403,1
134,9745858.97434927,2
134,9735774.40337115,3
134,10580999.0965593,4
134,9942803.66369407,5
134,9501277.28782751,6
134,9707065.43655937,7
134,9690466.10828643,8
134,10333531.3812189,9
134,10082130.8878976,10
137,10179422.9999213,1
137,10872475.8241043,2
137,10069131.3903569,3
137,10137855.5295834,4
137,10450598.1518653,5
137,10242968.3744295,6
137,10440797.9266663,7
137,10004358.634931,8
137,11600220.7221734,9
137,9833311.02534896,10
140,10487180.9232832,1
140,9743970.25627196,2
140,10895537.6632416,3
140,10501552.1471373,4
140,10779037.5021833,5
140,10288345.0693623,6
140,11026447.7105099,7
140,10544816.2670501,8
140,10674262.8991012,9
140,10379654.7384548,10
144,10708015.9996729,1
144,10503546.551659,2
144,10668551.5164418,3
144,10641485.9670282,4
144,10406437.2988132,5
144,8561012.94971688,6
144,11123418.3086152,7
144,11799771.7373465,8
144,12240607.9940453,9
144,11490023.0766929,10
147,11344700.2556055,1
147,10228948.0064504,2
147,11684846.6273505,3
147,11245633.7700261,4
147,10299505.1932349,5
147,11787338.4776999,6
147,12061773.4843763,7
147,11129645.8633523,8
147,10970681.0292738,9
147,12290940.3166079,10
150,10181186.3487296,1
150,12046311.5611153,2
150,11903981.0376075,3
150,11126644.635492,4
150,12513773.0001404,5
150,13107051.3077855,6
150,10910925.5202838,7
150,11944993.1843531,8
150,11359591.0416519,9
150,11577633.7461127,10
