"dim","best","repetition"
137,132604.895728426,8
137,90980.7523948645,9
137,85968.2372092242,10
140,107448.242649746,1
140,126766.600398734,2
140,111965.180141467,3
140,129360.434490938,4
140,105539.297768449,5
140,111627.497051908,6
140,134732.878007168,7
140,75049.9355582106,8
140,107891.291822863,9
140,103023.478249743,10
144,108568.62809066,1
144,128007.180488606,2
144,150646.543603591,3
144,115106.988005757,4
144,88927.1099200403,5
144,121400.457580696,6
144,114295.842861119,7
144,104816.617678991,8
144,152486.203487854,9
144,107565.162299115,10
147,128961.627249752,1
147,114312.753914227,2
147,147003.025392584,3
147,133419.069323138,4
147,94003.0153325859,5
147,150008.259529067,6
147,127008.663305179,7
147,161158.459324574,8
147,149915.273181244,9
147,122665.55259194,10
150,111370.25113737,1
150,131891.501495225,2
150,173688.567305456,3
150,149061.743473415,4
150,144708.432075632,5
150,149049.540736088,6
150,151622.643950942,7
150,169825.089059956,8
150,156449.279861208,9
150,119703.043988834,10
